potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6
-0.1355124020030669,-0.324719394075045,0.0013868639979834566,-0.011308571510897814,-0.010705892932420635,-0.017715138962069776,-0.0333219151475741
-0.1356163787596112,-0.324788803421064,0.0013909413640759566,-0.01149585145443055,-0.010891894914290212,-0.017902474091106235,-0.03387859876895316
-0.13572035551615547,-0.32468468940203565,0.0014031734623534565,-0.011402211482664182,-0.010705892932420635,-0.017527803833032873,-0.033693037561826955
-0.1355124020030669,-0.32464998472902606,0.0013868639979834566,-0.011308571510897814,-0.010240887977746915,-0.017434136268514422,-0.0334146957511372
-0.1355124020030669,-0.3245805753830071,0.0013827866318909567,-0.011121291567365077,-0.010333888968681482,-0.01734046870399597,-0.0334146957511372
-0.1357723438944276,-0.3247540987480546,0.0013990960962609565,-0.011683131397963287,-0.011077896896159789,-0.018089809220143138,-0.03424972118320557
-0.1355124020030669,-0.3245805753830071,0.0013787092657984567,-0.011308571510897814,-0.010054885995877338,-0.016778463316885706,-0.03295079273332169
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011308571510897814,-0.010426889959616492,-0.01724680113947752,-0.0333219151475741
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.011402211482664182,-0.010333888968681482,-0.017434136268514422,-0.033507476354700305
-0.1357723438944276,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.017527803833032873,-0.0334146957511372
-0.13566836713788333,-0.324788803421064,0.0013950187301684566,-0.01149585145443055,-0.010426889959616492,-0.01724680113947752,-0.0334146957511372
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010333888968681482,-0.01734046870399597,-0.033136353940447894
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.011214931539131445,-0.010426889959616492,-0.017434136268514422,-0.0333219151475741
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011027651595598709,-0.010612891941486069,-0.017434136268514422,-0.033507476354700305
-0.1356163787596112,-0.324719394075045,0.0013868639979834566,-0.011308571510897814,-0.010519890950551058,-0.017527803833032873,-0.033507476354700305
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011121291567365077,-0.010147886986812349,-0.017059466010440616,-0.0333219151475741
-0.1356163787596112,-0.32468468940203565,0.0014031734623534565,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.0334146957511372
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.0333219151475741
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.01734046870399597,-0.03360025695826385
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011402211482664182,-0.009961885004942772,-0.01696579844592261,-0.03295079273332169
-0.1356163787596112,-0.32464998472902606,0.0013950187301684566,-0.011308571510897814,-0.010519890950551058,-0.017715138962069776,-0.033507476354700305
-0.13572035551615547,-0.32468468940203565,0.0014031734623534565,-0.01149585145443055,-0.010519890950551058,-0.01734046870399597,-0.033136353940447894
-0.13556439038133905,-0.3247540987480546,0.0013950187301684566,-0.011214931539131445,-0.010705892932420635,-0.017434136268514422,-0.033507476354700305
-0.13582433227269974,-0.32468468940203565,0.0013909413640759566,-0.011308571510897814,-0.009589881041203618,-0.016684795752367254,-0.032672450922631935
-0.13572035551615547,-0.324719394075045,0.0013868639979834566,-0.01149585145443055,-0.009775883023073195,-0.01696579844592261,-0.03295079273332169
-0.1357723438944276,-0.3247540987480546,0.0013868639979834566,-0.011308571510897814,-0.010147886986812349,-0.017059466010440616,-0.032858012129758585
-0.13566836713788333,-0.3245805753830071,0.0013950187301684566,-0.01149585145443055,-0.010519890950551058,-0.017808806526587784,-0.0334146957511372
-0.1356163787596112,-0.32468468940203565,0.0013909413640759566,-0.011214931539131445,-0.009775883023073195,-0.016778463316885706,-0.032858012129758585
-0.13566836713788333,-0.32468468940203565,0.0013827866318909567,-0.011308571510897814,-0.010798893923355202,-0.017715138962069776,-0.033693037561826955
-0.1355124020030669,-0.3246152800560167,0.0013950187301684566,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.03360025695826385
-0.13556439038133905,-0.324719394075045,0.0013909413640759566,-0.011402211482664182,-0.010519890950551058,-0.017434136268514422,-0.03360025695826385
-0.1356163787596112,-0.32468468940203565,0.0013868639979834566,-0.011308571510897814,-0.010612891941486069,-0.017527803833032873,-0.033693037561826955
-0.13572035551615547,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010333888968681482,-0.017527803833032873,-0.0334146957511372
-0.13546041362479477,-0.324719394075045,0.0013990960962609565,-0.011214931539131445,-0.010333888968681482,-0.017434136268514422,-0.0333219151475741
-0.13572035551615547,-0.324719394075045,0.0013909413640759566,-0.011402211482664182,-0.010426889959616492,-0.01724680113947752,-0.033229134544010996
-0.1357723438944276,-0.32468468940203565,0.0013827866318909567,-0.011683131397963287,-0.010426889959616492,-0.017621471397551325,-0.033693037561826955
-0.1356163787596112,-0.324788803421064,0.0014031734623534565,-0.011308571510897814,-0.010519890950551058,-0.017715138962069776,-0.033693037561826955
-0.1356163787596112,-0.32468468940203565,0.0013909413640759566,-0.011308571510897814,-0.011077896896159789,-0.018089809220143138,-0.03424972118320557
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011308571510897814,-0.010333888968681482,-0.01724680113947752,-0.0333219151475741
-0.13566836713788333,-0.32468468940203565,0.0014031734623534565,-0.011402211482664182,-0.009868884014007762,-0.016591128187848803,-0.032858012129758585
-0.1356163787596112,-0.32464998472902606,0.0013950187301684566,-0.011402211482664182,-0.009868884014007762,-0.016778463316885706,-0.032858012129758585
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.011308571510897814,-0.011077896896159789,-0.017527803833032873,-0.03387859876895316
-0.1356163787596112,-0.324788803421064,0.0014031734623534565,-0.011402211482664182,-0.010333888968681482,-0.017059466010440616,-0.033229134544010996
-0.1357723438944276,-0.32468468940203565,0.0013909413640759566,-0.011402211482664182,-0.010891894914290212,-0.017902474091106235,-0.03378581816539006
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.01149585145443055,-0.010519890950551058,-0.01734046870399597,-0.033229134544010996
-0.1356163787596112,-0.324719394075045,0.0013909413640759566,-0.011589491426196918,-0.010519890950551058,-0.01734046870399597,-0.033136353940447894
-0.1355124020030669,-0.32464998472902606,0.0013950187301684566,-0.011308571510897814,-0.010519890950551058,-0.017715138962069776,-0.033971379372516264
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011308571510897814,-0.010612891941486069,-0.01724680113947752,-0.0333219151475741
-0.13546041362479477,-0.324719394075045,0.0013909413640759566,-0.011402211482664182,-0.010333888968681482,-0.01734046870399597,-0.0333219151475741
-0.13572035551615547,-0.32464998472902606,0.0013868639979834566,-0.011308571510897814,-0.009682882032138185,-0.016872130881404157,-0.03276523152619548
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.011214931539131445,-0.010240887977746915,-0.01724680113947752,-0.0333219151475741
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.01149585145443055,-0.010519890950551058,-0.01724680113947752,-0.033507476354700305
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.01149585145443055,-0.010333888968681482,-0.017434136268514422,-0.033693037561826955
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011214931539131445,-0.010426889959616492,-0.01724680113947752,-0.0334146957511372
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010612891941486069,-0.017434136268514422,-0.033507476354700305
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011683131397963287,-0.010519890950551058,-0.017434136268514422,-0.033229134544010996
-0.1355124020030669,-0.3247540987480546,0.0013950187301684566,-0.011121291567365077,-0.010426889959616492,-0.01734046870399597,-0.0333219151475741
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011308571510897814,-0.010798893923355202,-0.017902474091106235,-0.03360025695826385
-0.13566836713788333,-0.32464998472902606,0.0013868639979834566,-0.011308571510897814,-0.010426889959616492,-0.01724680113947752,-0.0334146957511372
-0.1356163787596112,-0.32468468940203565,0.0013990960962609565,-0.011308571510897814,-0.010426889959616492,-0.01734046870399597,-0.0333219151475741
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.01724680113947752,-0.033136353940447894
-0.13572035551615547,-0.32464998472902606,0.0013950187301684566,-0.011308571510897814,-0.010705892932420635,-0.017808806526587784,-0.033507476354700305
-0.1356163787596112,-0.3247540987480546,0.0013909413640759566,-0.011402211482664182,-0.010705892932420635,-0.01724680113947752,-0.03378581816539006
-0.13572035551615547,-0.32468468940203565,0.0013950187301684566,-0.011121291567365077,-0.009682882032138185,-0.016872130881404157,-0.032672450922631935
-0.1356163787596112,-0.324719394075045,0.0013990960962609565,-0.011402211482664182,-0.010426889959616492,-0.017434136268514422,-0.0333219151475741
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.011402211482664182,-0.010426889959616492,-0.017153133574959067,-0.0334146957511372
-0.1356163787596112,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.017527803833032873,-0.033693037561826955
-0.13566836713788333,-0.3245805753830071,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.01734046870399597,-0.033229134544010996
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.011683131397963287,-0.010426889959616492,-0.017434136268514422,-0.0334146957511372
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010519890950551058,-0.01724680113947752,-0.0333219151475741
-0.13556439038133905,-0.324719394075045,0.0013827866318909567,-0.011308571510897814,-0.010519890950551058,-0.01734046870399597,-0.0334146957511372
-0.1356163787596112,-0.32464998472902606,0.0013950187301684566,-0.011214931539131445,-0.010519890950551058,-0.01724680113947752,-0.0333219151475741
-0.1356163787596112,-0.32464998472902606,0.0013950187301684566,-0.011308571510897814,-0.010333888968681482,-0.017715138962069776,-0.03378581816539006
-0.13566836713788333,-0.32468468940203565,0.0013950187301684566,-0.01149585145443055,-0.010519890950551058,-0.017434136268514422,-0.0334146957511372
-0.1356163787596112,-0.32468468940203565,0.0013868639979834566,-0.011121291567365077,-0.010705892932420635,-0.017527803833032873,-0.03387859876895316
-0.13566836713788333,-0.32464998472902606,0.0013787092657984567,-0.011402211482664182,-0.011263898878028922,-0.01827714434918004,-0.03424972118320557
-0.1356163787596112,-0.32464998472902606,0.0014031734623534565,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.0333219151475741
-0.13572035551615547,-0.3247540987480546,0.0013990960962609565,-0.01149585145443055,-0.009868884014007762,-0.01696579844592261,-0.03295079273332169
-0.1356163787596112,-0.3245805753830071,0.0013909413640759566,-0.011121291567365077,-0.011449900859898499,-0.01818347678466159,-0.03443528239033222
-0.13572035551615547,-0.3246152800560167,0.0013827866318909567,-0.011402211482664182,-0.010333888968681482,-0.01734046870399597,-0.0333219151475741
-0.13572035551615547,-0.3247540987480546,0.0013787092657984567,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.033693037561826955
-0.13572035551615547,-0.324788803421064,0.0013950187301684566,-0.011308571510897814,-0.010426889959616492,-0.017527803833032873,-0.0333219151475741
-0.1357723438944276,-0.32468468940203565,0.0014031734623534565,-0.01149585145443055,-0.010519890950551058,-0.017434136268514422,-0.0333219151475741
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011308571510897814,-0.010333888968681482,-0.01724680113947752,-0.0333219151475741
-0.1356163787596112,-0.32454587070999774,0.0013787092657984567,-0.011308571510897814,-0.010612891941486069,-0.017434136268514422,-0.033693037561826955
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.009775883023073195,-0.01696579844592261,-0.032858012129758585
-0.13546041362479477,-0.32464998472902606,0.0013990960962609565,-0.011308571510897814,-0.010519890950551058,-0.01734046870399597,-0.0333219151475741
-0.13556439038133905,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010519890950551058,-0.017434136268514422,-0.033507476354700305
-0.13566836713788333,-0.32468468940203565,0.0013909413640759566,-0.01149585145443055,-0.010519890950551058,-0.017527803833032873,-0.033693037561826955
-0.13566836713788333,-0.3247540987480546,0.0013909413640759566,-0.01149585145443055,-0.010891894914290212,-0.017715138962069776,-0.03378581816539006
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.011402211482664182,-0.010519890950551058,-0.01724680113947752,-0.03360025695826385
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.011308571510897814,-0.009868884014007762,-0.016778463316885706,-0.03276523152619548
-0.13546041362479477,-0.32468468940203565,0.0013868639979834566,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.033507476354700305
-0.13566836713788333,-0.32468468940203565,0.0014031734623534565,-0.011214931539131445,-0.010612891941486069,-0.01734046870399597,-0.03360025695826385
-0.1356163787596112,-0.32454587070999774,0.0013950187301684566,-0.011214931539131445,-0.011356899868963932,-0.01827714434918004,-0.034342501786768675
-0.1356163787596112,-0.32468468940203565,0.0013909413640759566,-0.01149585145443055,-0.010333888968681482,-0.01734046870399597,-0.033229134544010996
-0.13572035551615547,-0.3246152800560167,0.0013909413640759566,-0.011402211482664182,-0.010612891941486069,-0.017527803833032873,-0.03360025695826385
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010426889959616492,-0.01734046870399597,-0.0333219151475741
-0.13572035551615547,-0.3245805753830071,0.0013909413640759566,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.033507476354700305
-0.13572035551615547,-0.32464998472902606,0.0013950187301684566,-0.011402211482664182,-0.010519890950551058,-0.017527803833032873,-0.0334146957511372
-0.1356163787596112,-0.324719394075045,0.0013909413640759566,-0.01149585145443055,-0.010612891941486069,-0.01734046870399597,-0.033507476354700305
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.011402211482664182,-0.010612891941486069,-0.01734046870399597,-0.033507476354700305
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011121291567365077,-0.010519890950551058,-0.017434136268514422,-0.033507476354700305
-0.1356163787596112,-0.324719394075045,0.0013990960962609565,-0.011683131397963287,-0.011077896896159789,-0.017902474091106235,-0.03387859876895316
-0.13566836713788333,-0.324719394075045,0.0013909413640759566,-0.01149585145443055,-0.010426889959616492,-0.017527803833032873,-0.0334146957511372
-0.1356163787596112,-0.32468468940203565,0.0013950187301684566,-0.011214931539131445,-0.010612891941486069,-0.017527803833032873,-0.0333219151475741
-0.13572035551615547,-0.324719394075045,0.0014031734623534565,-0.01149585145443055,-0.010705892932420635,-0.017434136268514422,-0.03360025695826385
-0.13572035551615547,-0.32468468940203565,0.0013868639979834566,-0.011214931539131445,-0.010519890950551058,-0.017527803833032873,-0.0334146957511372
-0.1355124020030669,-0.32464998472902606,0.0013909413640759566,-0.01149585145443055,-0.010240887977746915,-0.01724680113947752,-0.033507476354700305
-0.1357723438944276,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010612891941486069,-0.017434136268514422,-0.03360025695826385
-0.13572035551615547,-0.324719394075045,0.0013950187301684566,-0.011683131397963287,-0.010426889959616492,-0.017434136268514422,-0.033693037561826955
-0.1356163787596112,-0.3245805753830071,0.0013909413640759566,-0.01149585145443055,-0.010426889959616492,-0.017434136268514422,-0.0333219151475741
-0.13540842524652263,-0.3246152800560167,0.0013950187301684566,-0.01149585145443055,-0.010333888968681482,-0.017527803833032873,-0.0333219151475741
-0.13572035551615547,-0.3247540987480546,0.0013950187301684566,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.0334146957511372
-0.13566836713788333,-0.324719394075045,0.0013990960962609565,-0.011214931539131445,-0.010426889959616492,-0.01724680113947752,-0.0333219151475741
-0.13572035551615547,-0.324719394075045,0.0013990960962609565,-0.011308571510897814,-0.010705892932420635,-0.017715138962069776,-0.0333219151475741
-0.1355124020030669,-0.324719394075045,0.0013909413640759566,-0.011121291567365077,-0.010426889959616492,-0.017434136268514422,-0.0334146957511372
-0.13556439038133905,-0.32468468940203565,0.0013868639979834566,-0.011214931539131445,-0.009496880050269052,-0.016591128187848803,-0.032672450922631935
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011308571510897814,-0.010426889959616492,-0.017434136268514422,-0.033229134544010996
-0.1356163787596112,-0.32464998472902606,0.0013868639979834566,-0.011308571510897814,-0.010519890950551058,-0.01734046870399597,-0.033507476354700305
-0.1356163787596112,-0.324719394075045,0.0013827866318909567,-0.01149585145443055,-0.010519890950551058,-0.017434136268514422,-0.033693037561826955
-0.13566836713788333,-0.32464998472902606,0.0013868639979834566,-0.01149585145443055,-0.010519890950551058,-0.017434136268514422,-0.0334146957511372
-0.13556439038133905,-0.3247540987480546,0.0013909413640759566,-0.01149585145443055,-0.010519890950551058,-0.017621471397551325,-0.0334146957511372
-0.1356163787596112,-0.32468468940203565,0.0013868639979834566,-0.011308571510897814,-0.010612891941486069,-0.017621471397551325,-0.033693037561826955
-0.13566836713788333,-0.32464998472902606,0.0013909413640759566,-0.011308571510897814,-0.009961885004942772,-0.01696579844592261,-0.03295079273332169
-0.13556439038133905,-0.32468468940203565,0.0013909413640759566,-0.011214931539131445,-0.010426889959616492,-0.01724680113947752,-0.0333219151475741
-0.1356163787596112,-0.3246152800560167,0.0013909413640759566,-0.011214931539131445,-0.010426889959616492,-0.01724680113947752,-0.0333219151475741
-0.13572035551615547,-0.3247540987480546,0.0013909413640759566,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.033507476354700305
-0.1356163787596112,-0.3246152800560167,0.0013950187301684566,-0.01149585145443055,-0.010147886986812349,-0.01724680113947752,-0.033507476354700305
-0.1356163787596112,-0.3245805753830071,0.0013827866318909567,-0.011121291567365077,-0.011356899868963932,-0.01818347678466159,-0.034528062993895325
-0.13566836713788333,-0.32464998472902606,0.0013909413640759566,-0.01149585145443055,-0.010333888968681482,-0.01734046870399597,-0.033507476354700305
-0.1356163787596112,-0.32468468940203565,0.0013868639979834566,-0.01149585145443055,-0.010333888968681482,-0.017434136268514422,-0.033507476354700305
-0.1356163787596112,-0.324719394075045,0.0013950187301684566,-0.011402211482664182,-0.010147886986812349,-0.017715138962069776,-0.033229134544010996
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011683131397963287,-0.010519890950551058,-0.017153133574959067,-0.0333219151475741
-0.13572035551615547,-0.3246152800560167,0.0013787092657984567,-0.011214931539131445,-0.010054885995877338,-0.017059466010440616,-0.03304357333688479
-0.13556439038133905,-0.32464998472902606,0.0013868639979834566,-0.011402211482664182,-0.010333888968681482,-0.017434136268514422,-0.033507476354700305
-0.1356163787596112,-0.32464998472902606,0.0013950187301684566,-0.011308571510897814,-0.010705892932420635,-0.01734046870399597,-0.03360025695826385
-0.1356163787596112,-0.324719394075045,0.0013950187301684566,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.0333219151475741
-0.1356163787596112,-0.324719394075045,0.0013990960962609565,-0.011683131397963287,-0.010426889959616492,-0.01734046870399597,-0.0334146957511372
-0.1356163787596112,-0.3247540987480546,0.0013827866318909567,-0.01149585145443055,-0.010426889959616492,-0.01724680113947752,-0.0333219151475741
-0.13572035551615547,-0.324719394075045,0.0014031734623534565,-0.011402211482664182,-0.010519890950551058,-0.01734046870399597,-0.0334146957511372
-0.13566836713788333,-0.324719394075045,0.0013787092657984567,-0.011214931539131445,-0.011356899868963932,-0.01818347678466159,-0.03415694057964247
-0.1356163787596112,-0.32468468940203565,0.0013868639979834566,-0.011214931539131445,-0.010147886986812349,-0.017059466010440616,-0.03304357333688479
-0.13566836713788333,-0.32468468940203565,0.0013990960962609565,-0.011308571510897814,-0.010612891941486069,-0.017527803833032873,-0.0334146957511372
-0.1356163787596112,-0.3246152800560167,0.0013868639979834566,-0.011402211482664182,-0.010519890950551058,-0.01696579844592261,-0.03295079273332169
-0.13566836713788333,-0.3247540987480546,0.0013950187301684566,-0.01149585145443055,-0.010054885995877338,-0.017059466010440616,-0.03295079273332169
-0.13546041362479477,-0.324719394075045,0.0013868639979834566,-0.011308571510897814,-0.010426889959616492,-0.017434136268514422,-0.03360025695826385
-0.13566836713788333,-0.32464998472902606,0.0013950187301684566,-0.011402211482664182,-0.009775883023073195,-0.01696579844592261,-0.032858012129758585
-0.13572035551615547,-0.32468468940203565,0.0013909413640759566,-0.011308571510897814,-0.010426889959616492,-0.017153133574959067,-0.0334146957511372
-0.13566836713788333,-0.32464998472902606,0.0013868639979834566,-0.011214931539131445,-0.009682882032138185,-0.016591128187848803,-0.032672450922631935
-0.1355124020030669,-0.32468468940203565,0.0013909413640759566,-0.011308571510897814,-0.010612891941486069,-0.017434136268514422,-0.033507476354700305
-0.13566836713788333,-0.324719394075045,0.0013990960962609565,-0.011308571510897814,-0.009961885004942772,-0.01696579844592261,-0.03295079273332169
-0.13566836713788333,-0.324719394075045,0.0013950187301684566,-0.011308571510897814,-0.010519890950551058,-0.017434136268514422,-0.0334146957511372
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.01149585145443055,-0.010519890950551058,-0.017527803833032873,-0.0333219151475741
-0.13566836713788333,-0.32464998472902606,0.0013787092657984567,-0.011402211482664182,-0.010333888968681482,-0.01734046870399597,-0.03360025695826385
-0.13566836713788333,-0.32464998472902606,0.0013950187301684566,-0.011402211482664182,-0.010333888968681482,-0.017434136268514422,-0.0334146957511372
-0.1356163787596112,-0.32464998472902606,0.0013909413640759566,-0.011402211482664182,-0.010426889959616492,-0.017434136268514422,-0.03360025695826385
-0.13556439038133905,-0.32464998472902606,0.0013827866318909567,-0.011402211482664182,-0.010798893923355202,-0.017715138962069776,-0.03378581816539006
-0.1356163787596112,-0.324719394075045,0.0013909413640759566,-0.011214931539131445,-0.010612891941486069,-0.01734046870399597,-0.033693037561826955
